index,distance,label
1,0.3943087451990901,1
2,0.4027714417053008,1
3,0.4069466561999426,1
4,0.413847841124994,1
5,0.4175346602744449,1
6,0.44199435844302953,1
7,0.44682938223472846,1
8,0.4489874203712108,1
9,0.4551860205897179,1
10,0.4554039621643583,1
11,0.46515067124100695,1
12,0.4661648599815464,1
13,0.4663591234981681,1
14,0.4732913885682788,1
15,0.4777783636403934,1
16,0.479750276757241,1
17,0.48235275140821,1
18,0.48288279132902134,1
19,0.48829706456582095,1
20,0.48931459950193584,1
21,0.5027529791286448,1
22,0.5073138477793061,1
23,0.5150933389254299,1
24,0.5172236214805012,1
25,0.520815472142702,1
26,0.5259486189629334,1
27,0.5325015770972048,1
28,0.5345593093628319,1
29,0.5379175245967924,1
30,0.5393816536546676,1
31,0.5410190547217142,1
32,0.5435619444548777,1
33,0.5483762521118799,1
34,0.5486431606887853,1
35,0.5523247631307152,1
36,0.555388414778533,1
37,0.5564261015864319,1
38,0.5583987105034732,1
39,0.5584254716791951,1
40,0.55853172508295,1
41,0.5595658617717266,1
42,0.5665323341673417,1
43,0.5702963719561405,1
44,0.5737220333784426,1
45,0.5912041417975934,1
46,0.591913141155299,1
47,0.5920161516121067,1
48,0.5964151502134172,1
49,0.5979482062436077,1
50,0.5989143678684523,1
51,0.5991158430576593,1
52,0.5994289437026967,1
53,0.6039746738545353,1
54,0.6044655830433682,1
55,0.6057738137756614,1
56,0.6059214287521478,1
57,0.6060660466893409,1
58,0.6090656926929107,1
59,0.6103272716478967,1
60,0.6104843166215922,1
61,0.6105020129625481,1
62,0.6129689844680741,1
63,0.6132143440768668,1
64,0.6160054109288045,1
65,0.6175842038471265,1
66,0.6181961529500197,1
67,0.6182081742330484,1
68,0.6193811352110887,1
69,0.6220107508255512,1
70,0.6241761174956787,0
71,0.624897156224654,1
72,0.625042198569125,1
73,0.6251808005421391,1
74,0.6253103392788826,1
75,0.6256070338293965,0
76,0.6258486991108038,1
77,0.6315418825776296,1
78,0.633389136865383,1
79,0.6338042759391249,1
80,0.6349965891877116,0
81,0.6375438906646708,1
82,0.6385698852206472,1
83,0.6390019250799412,1
84,0.64008975863384,1
85,0.6403441560632367,1
86,0.6408327373729806,1
87,0.6420248018345246,0
88,0.6425886085760263,1
